model,config,seed,cv_accuracy,test_accuracy,balanced_accuracy,macro_f1,roc_auc_ovr,ece,recall_normal,recall_suspect,recall_pathological
XGB,D — Full naive,5,0.9828801611278953,0.9828801611278952,0.9827487165068182,0.9827278704201782,0.9987733168435561,0.007494090618801713,0.972809667673716,0.9783950617283951,0.9970414201183432
XGB,A — Correct,6,0.951764705882353,0.9295774647887324,0.8978631231949591,0.8815136553192016,0.9869145618332326,0.04104066114866864,0.9487951807228916,0.8305084745762712,0.9142857142857143
XGB,B — +L4,6,0.9535294117647058,0.9295774647887324,0.9025088246448263,0.8825558382810291,0.987082158304783,0.04046426261104761,0.9457831325301205,0.847457627118644,0.9142857142857143
XGB,C — +L1+L4,6,0.9785979753813983,0.9869083585095669,0.9868891095562908,0.9868960409816037,0.9995740669379458,0.005461557133335241,0.9786585365853658,0.9850299401197605,0.9969788519637462
XGB,D — Full naive,6,0.9836858006042297,0.9869083585095669,0.9868891095562908,0.9868960409816037,0.9995740669379458,0.005461557133335241,0.9786585365853658,0.9850299401197605,0.9969788519637462
XGB,A — Correct,7,0.95,0.9295774647887324,0.8893433297354064,0.8826340456152723,0.9816753475223465,0.036872447903485935,0.9518072289156626,0.8305084745762712,0.8857142857142857
XGB,B — +L4,7,0.9558823529411764,0.9272300469483568,0.8836936122212822,0.8827931969806483,0.9814350336778462,0.03631912999764937,0.9518072289156626,0.8135593220338984,0.8857142857142857
XGB,C — +L1+L4,7,0.9801093103939926,0.9869083585095669,0.9867609679759201,0.9867806746771147,0.999008758799072,0.008687097058791235,0.9805825242718447,0.9826589595375722,0.9970414201183432
XGB,D — Full naive,7,0.9802618328298086,0.9869083585095669,0.9867609679759201,0.9867806746771147,0.999008758799072,0.008687097058791235,0.9805825242718447,0.9826589595375722,0.9970414201183432
XGB,A — Correct,8,0.9452941176470588,0.9530516431924883,0.9249428707566344,0.9207211989721337,0.985187344785313,0.024065477223079418,0.9728915662650602,0.8305084745762712,0.9714285714285714
XGB,B — +L4,8,0.943529411764706,0.9530516431924883,0.9202971693067671,0.9218340201806215,0.9867471756704461,0.023008463762340572,0.9759036144578314,0.8135593220338984,0.9714285714285714
XGB,C — +L1+L4,8,0.9791033379275383,0.9909365558912386,0.9908425237932462,0.9908424468235063,0.999627739743643,0.005527308738057968,0.99079754601227,0.9846625766871165,0.9970674486803519
XGB,D — Full naive,8,0.9828801611278951,0.9909365558912386,0.9908425237932462,0.9908424468235063,0.999627739743643,0.005527308738057968,0.99079754601227,0.9846625766871165,0.9970674486803519
XGB,A — Correct,9,0.9447058823529412,0.9460093896713615,0.8948282233048417,0.9054875702301239,0.9866697083953895,0.029529007531712368,0.9789156626506024,0.7627118644067796,0.9428571428571428
XGB,B — +L4,9,0.943529411764706,0.9389671361502347,0.8918161751120705,0.9006493706918327,0.9859752692946916,0.034788739786391173,0.9698795180722891,0.7627118644067796,0.9428571428571428
XGB,C — +L1+L4,9,0.9821237900606752,0.9768378650553877,0.976246217270558,0.9765037437949298,0.9972468179995512,0.0123094519927048,0.9585987261146497,0.9759036144578314,0.9942363112391931
XGB,D — Full naive,9,0.9832829808660624,0.9768378650553877,0.976246217270558,0.9765037437949298,0.9972468179995512,0.0123094519927048,0.9585987261146497,0.9759036144578314,0.9942363112391931
SVM,A — Correct,0,0.8847058823529412,0.8708920187793427,0.8688886295788482,0.8064775363598894,0.9513614908336724,0.06233395621302545,0.8734939759036144,0.847457627118644,0.8857142857142857
SVM,B — +L4,0,0.8852941176470587,0.8685446009389671,0.8678846135145911,0.8044901794901795,0.9508335061350096,0.0635890517008154,0.8704819277108434,0.847457627118644,0.8857142857142857
SVM,C — +L1+L4,0,0.9365552968014829,0.9395770392749244,0.9394639340547495,0.9389160471131967,0.981168361149367,0.011238857700806898,0.8798798798798799,0.9588607594936709,0.9796511627906976
SVM,D — Full naive,0,0.9377643504531722,0.9395770392749244,0.9394639340547495,0.9389160471131967,0.981168361149367,0.011238857700806898,0.8798798798798799,0.9588607594936709,0.9796511627906976
SVM,A — Correct,1,0.8847058823529412,0.8849765258215962,0.8927239223236773,0.8364227102053358,0.9662762874763821,0.05269069205681617,0.8825301204819277,0.8813559322033898,0.9142857142857143
SVM,B — +L4,1,0.8847058823529412,0.8826291079812206,0.8917199062594202,0.8317967854513041,0.9657678673786485,0.05270341457993008,0.8795180722891566,0.8813559322033898,0.9142857142857143
